s1= 0; s0= 0; d0= 0; d1= 0; d2= 0; d3= 0; o= 0; 
#1
s1= 0; s0= 0; d0= 0; d1= 0; d2= 0; d3= 1; o= 0; 
#2
s1= 0; s0= 0; d0= 0; d1= 0; d2= 1; d3= 0; o= 0; 
#3
s1= 0; s0= 0; d0= 0; d1= 0; d2= 1; d3= 1; o= 0; 
#4
s1= 0; s0= 0; d0= 0; d1= 1; d2= 0; d3= 0; o= 0; 
#5
s1= 0; s0= 0; d0= 0; d1= 1; d2= 0; d3= 1; o= 0; 
#6
s1= 0; s0= 0; d0= 0; d1= 1; d2= 1; d3= 0; o= 0; 
#7
s1= 0; s0= 0; d0= 0; d1= 1; d2= 1; d3= 1; o= 0; 
#8
s1= 0; s0= 0; d0= 1; d1= 0; d2= 0; d3= 0; o= 1; 
#9
s1= 0; s0= 0; d0= 1; d1= 0; d2= 0; d3= 1; o= 1; 
#10
s1= 0; s0= 0; d0= 1; d1= 0; d2= 1; d3= 0; o= 1; 
#11
s1= 0; s0= 0; d0= 1; d1= 0; d2= 1; d3= 1; o= 1; 
#12
s1= 0; s0= 0; d0= 1; d1= 1; d2= 0; d3= 0; o= 1; 
#13
s1= 0; s0= 0; d0= 1; d1= 1; d2= 0; d3= 1; o= 1; 
#14
s1= 0; s0= 0; d0= 1; d1= 1; d2= 1; d3= 0; o= 1; 
#15
s1= 0; s0= 0; d0= 1; d1= 1; d2= 1; d3= 1; o= 1; 
#16
s1= 0; s0= 1; d0= 0; d1= 0; d2= 0; d3= 0; o= 0; 
#17
s1= 0; s0= 1; d0= 0; d1= 0; d2= 0; d3= 1; o= 0; 
#18
s1= 0; s0= 1; d0= 0; d1= 0; d2= 1; d3= 0; o= 0; 
#19
s1= 0; s0= 1; d0= 0; d1= 0; d2= 1; d3= 1; o= 0; 
#20
s1= 0; s0= 1; d0= 0; d1= 1; d2= 0; d3= 0; o= 1; 
#21
s1= 0; s0= 1; d0= 0; d1= 1; d2= 0; d3= 1; o= 1; 
#22
s1= 0; s0= 1; d0= 0; d1= 1; d2= 1; d3= 0; o= 1; 
#23
s1= 0; s0= 1; d0= 0; d1= 1; d2= 1; d3= 1; o= 1; 
#24
s1= 0; s0= 1; d0= 1; d1= 0; d2= 0; d3= 0; o= 0; 
#25
s1= 0; s0= 1; d0= 1; d1= 0; d2= 0; d3= 1; o= 0; 
#26
s1= 0; s0= 1; d0= 1; d1= 0; d2= 1; d3= 0; o= 0; 
#27
s1= 0; s0= 1; d0= 1; d1= 0; d2= 1; d3= 1; o= 0; 
#28
s1= 0; s0= 1; d0= 1; d1= 1; d2= 0; d3= 0; o= 1; 
#29
s1= 0; s0= 1; d0= 1; d1= 1; d2= 0; d3= 1; o= 1; 
#30
s1= 0; s0= 1; d0= 1; d1= 1; d2= 1; d3= 0; o= 1; 
#31
s1= 0; s0= 1; d0= 1; d1= 1; d2= 1; d3= 1; o= 1; 
#32
s1= 1; s0= 0; d0= 0; d1= 0; d2= 0; d3= 0; o= 0; 
#33
s1= 1; s0= 0; d0= 0; d1= 0; d2= 0; d3= 1; o= 0; 
#34
s1= 1; s0= 0; d0= 0; d1= 0; d2= 1; d3= 0; o= 1; 
#35
s1= 1; s0= 0; d0= 0; d1= 0; d2= 1; d3= 1; o= 1; 
#36
s1= 1; s0= 0; d0= 0; d1= 1; d2= 0; d3= 0; o= 0; 
#37
s1= 1; s0= 0; d0= 0; d1= 1; d2= 0; d3= 1; o= 0; 
#38
s1= 1; s0= 0; d0= 0; d1= 1; d2= 1; d3= 0; o= 1; 
#39
